
Date and time: 2016-07-19 08:00:01
Netcontrollers: 


Silo,Cable,Sensor,Status
18,070,2,16.5
18,070,3,16.0
18,070,4,16.5
18,070,5,16.0
18,070,6,16.5
18,071,1,16.4
18,071,2,16.3
18,071,3,16.4
18,071,4,16.3
18,071,5,16.5
18,071,6,16.8
18,071,7,21.2
18,072,1,16.4
18,072,2,16.4
18,072,3,16.3
18,072,4,16.3
18,072,5,16.4
18,072,6,16.7
18,072,7,19.9
30,073,1,15.8
30,073,2,15.9
30,073,3,15.7
30,073,4,15.7
30,073,5,15.6
30,073,6,15.8
30,073,7,15.8
30,074,1,16.0
30,074,2,15.5
30,074,3,15.5
30,074,4,15.5
30,074,5,15.5
30,074,6,15.5
30,075,1,15.9
30,075,2,15.9
30,075,3,15.6
30,075,4,15.7
30,075,5,15.4
30,075,6,15.5
30,075,7,15.2
30,076,1,16.0
30,076,2,15.5
30,076,3,15.5
30,076,4,15.5
30,076,5,16.0
30,076,6,15.5
30,076,7,15.5
30,077,1,16.0
30,077,2,15.9
30,077,3,15.8
30,077,4,15.8
30,077,5,15.8
30,077,6,15.8
30,077,7,16.4
30,078,1,15.8
30,078,2,15.8
30,078,3,15.7
30,078,4,15.7
30,078,5,15.7
30,078,6,15.8
30,078,7,16.5
29,079,1,14.9
29,079,2,14.9
29,079,3,14.9
29,079,4,14.8
29,079,5,14.7
29,079,6,14.7
29,079,7,14.6
29,080,1,15.0
29,080,2,15.0
29,080,3,14.9
29,080,4,14.8
29,080,5,14.8
29,080,6,14.7
29,080,7,14.5
29,081,1,14.9
29,081,2,15.1
29,081,3,14.8
29,081,4,14.7
29,081,5,14.8
29,081,6,14.6
29,081,7,14.5
29,082,1,15.0
29,082,2,14.8
29,082,3,14.6
29,082,4,14.6
29,082,5,14.7
29,082,6,14.8
29,082,7,15.1
29,083,1,15.0
29,083,2,14.5
29,083,3,15.0
29,083,4,15.0
29,083,5,15.0
29,083,6,15.0
29,083,7,15.5
29,084,1,15.1
29,084,2,15.1
29,084,3,15.1
29,084,4,14.8
29,084,5,14.8
29,084,6,14.9
29,084,7,15.1
28,085,1,15.1
28,085,2,15.2
28,085,3,15.2
28,085,4,15.1
28,085,5,15.2
28,085,6,15.0
28,085,7,14.6
28,086,1,15.3
28,086,2,15.1
28,086,3,15.1
28,086,4,14.9
28,086,5,15.1
28,086,6,15.0
28,086,7,14.7
28,087,1,15.3
28,087,2,15.1
28,087,3,15.1
28,087,4,15.1
28,087,5,15.1
28,087,6,15.0
28,087,7,14.6
28,088,1,15.0
28,088,2,15.0
28,088,3,15.0
28,088,4,15.0
28,088,5,15.0
28,088,6,15.5
28,088,7,15.5
28,089,1,15.5
28,089,2,15.4
28,089,3,15.3
28,089,4,15.1
28,089,5,15.1
28,089,6,15.3
28,089,7,16.4
28,090,1,15.5
28,090,2,15.5
28,090,3,15.0
28,090,4,15.0
28,090,5,15.0
28,090,6,15.0
27,091,1,15.5
27,091,2,15.5
27,091,3,15.5
27,091,4,15.5
27,091,5,15.5
27,091,6,15.5
27,092,1,15.5
27,092,2,15.5
27,092,3,15.5
27,092,4,15.5
27,092,5,15.5
27,092,6,16.0
27,092,7,16.0
27,093,1,15.5
27,093,2,15.5
27,093,3,15.5
27,093,4,15.0
27,093,5,15.3
27,093,6,15.0
27,093,7,15.0
27,094,1,16.0
27,094,2,15.5
27,094,3,15.5
27,094,4,15.5
27,094,5,15.5
27,094,6,15.5
27,095,1,15.5
27,095,2,15.5
27,095,3,15.5
27,095,4,15.5
27,095,5,15.5
27,095,6,15.5
27,096,1,15.6
27,096,2,15.4
27,096,3,15.2
27,096,4,15.2
27,096,5,15.2
27,096,6,15.3
27,096,7,15.6
26,097,1,15.3
26,097,2,15.2
26,097,3,15.1
26,097,4,14.9
26,097,5,14.9
26,097,6,14.9
26,097,7,14.5
26,098,1,15.3
26,098,2,15.1
26,098,3,14.9
26,098,4,15.1
26,098,5,14.8
26,098,6,14.9
26,098,7,14.6
26,099,1,15.3
26,099,2,15.1
26,099,3,14.9
26,099,4,14.9
26,099,5,15.1
26,099,6,15.0
26,099,7,14.7
26,100,1,15.2
26,100,2,15.1
26,100,3,15.1
26,100,4,14.9
26,100,5,14.9
26,100,6,15.0
26,100,7,14.7
26,101,1,15.3
26,101,2,15.2
26,101,3,15.3
26,101,4,15.1
26,101,5,15.1
26,101,6,15.4
26,101,7,15.9
26,102,1,15.0
26,102,2,15.0
26,102,3,15.0
26,102,4,14.5
26,102,5,15.0
26,102,6,15.0
26,102,7,14.5
25,103,1,15.2
25,103,2,15.2
25,103,3,15.1
25,103,4,15.1
25,103,5,15.0
25,103,6,14.9
25,103,7,14.7
25,104,1,15.0
25,104,2,15.0
25,104,3,15.0
25,104,4,15.5
25,104,5,15.0
25,104,6,15.0
25,105,1,15.0
25,105,2,15.0
25,105,3,15.0
25,105,4,15.0
25,105,5,15.0
25,105,6,15.0
25,106,1,15.3
25,106,2,15.3
25,106,3,15.1
25,106,4,15.0
25,106,5,15.1
25,106,6,15.4
25,106,7,14.9
25,107,1,15.5
25,107,2,15.0
25,107,3,15.5
25,107,4,15.0
25,107,5,15.5
25,107,6,15.5
25,108,1,15.5
25,108,2,15.0
25,108,3,15.0
25,108,4,15.0
25,108,5,15.0
25,108,6,15.5
7,109,1,15.4
7,109,2,15.3
7,109,3,15.1
7,109,4,15.1
7,109,5,15.1
7,109,6,15.1
7,109,7,14.8
7,110,1,15.4
7,110,2,15.3
7,110,3,15.2
7,110,4,15.1
7,110,5,15.2
7,110,6,15.1
7,110,7,15.1
7,111,1,15.5
7,111,2,15.4
7,111,3,15.2
7,111,4,15.1
7,111,5,15.1
7,111,6,15.1
7,111,7,14.6
7,112,1,15.3
7,112,2,15.2
7,112,3,15.1
7,112,4,15.2
7,112,5,15.2
7,112,6,15.3
7,112,7,15.3
7,113,1,15.4
7,113,2,15.4
7,113,3,15.1
7,113,4,15.3
7,113,5,15.3
