
Date and time: 2015-06-10 06:00:01
Netcontrollers: 


Silo,Cable,Sensor,Status
11,137,1,-6.1
11,137,2,-3.3
11,137,3,0.3
11,137,4,4.6
11,137,5,17.6
11,137,6,14.3
11,137,7,14.0
11,138,1,-5.9
11,138,2,-3.4
11,138,3,0.5
11,138,4,4.8
11,138,5,15.5
11,138,6,14.3
11,138,7,14.1
12,139,1,15.2
12,139,2,15.1
12,139,3,15.1
12,139,4,14.9
12,139,5,14.7
12,139,6,14.8
12,139,7,14.4
12,140,1,15.2
12,140,2,15.0
12,140,3,15.1
12,140,4,14.8
12,140,5,14.8
12,140,6,14.7
12,140,7,14.6
12,141,1,15.2
12,141,2,15.0
12,141,3,15.0
12,141,4,14.9
12,141,5,14.9
12,141,6,14.6
12,141,7,14.5
12,142,1,15.2
12,142,2,15.0
12,142,3,14.9
12,142,4,14.9
12,142,5,14.8
12,142,6,14.6
12,142,7,14.6
12,143,1,15.2
12,143,2,15.1
12,143,3,15.0
12,143,4,14.8
12,143,5,14.9
12,143,6,14.8
12,143,7,14.5
12,144,1,15.3
12,144,2,15.0
12,144,3,15.0
12,144,4,15.0
12,144,5,15.1
12,144,6,14.8
12,144,7,14.6
24,146,1,11.6
24,146,2,9.8
24,146,3,7.3
24,146,4,8.5
24,146,5,11.6
24,146,6,14.5
24,146,7,14.8
24,147,1,10.3
24,147,2,8.6
24,147,3,6.8
24,147,4,8.4
24,147,5,11.4
24,147,6,14.3
24,147,7,14.5
24,148,1,4.8
24,148,2,2.6
24,148,3,4.9
24,148,4,9.4
24,148,5,13.0
24,148,6,14.3
24,148,7,14.4
23,151,1,14.9
23,151,2,14.7
23,151,3,14.8
23,151,4,14.5
23,151,5,14.4
23,151,6,14.4
23,151,7,14.3
23,152,1,14.8
23,152,2,14.8
23,152,3,14.7
23,152,4,14.6
23,152,5,14.5
23,152,6,14.3
23,152,7,14.1
23,153,1,14.9
23,153,2,14.8
23,153,3,14.6
23,153,4,14.6
23,153,5,14.4
23,153,6,14.3
23,153,7,14.1
23,154,1,14.8
23,154,2,14.8
23,154,3,14.7
23,154,4,14.8
23,154,5,14.5
23,154,6,14.3
23,154,7,14.5
23,155,1,14.8
23,155,2,14.8
23,155,3,14.7
23,155,4,14.6
23,155,5,14.4
23,155,6,14.4
23,155,7,14.3
23,156,1,14.8
23,156,2,14.6
23,156,3,14.6
23,156,4,14.6
23,156,5,14.4
23,156,6,14.3
23,156,7,14.1
22,157,1,14.9
22,157,2,14.6
22,157,3,14.5
22,157,4,14.4
22,157,5,14.4
22,157,6,14.1
22,157,7,14.1
22,158,1,14.7
22,158,2,14.8
22,158,3,14.6
22,158,4,14.5
22,158,5,14.3
22,158,6,14.2
22,158,7,14.0
22,159,1,14.8
22,159,2,14.6
22,159,3,14.6
22,159,4,14.4
22,159,5,14.6
22,159,6,14.3
22,159,7,14.1
22,160,1,14.8
22,160,2,14.6
22,160,3,14.6
22,160,4,14.5
22,160,5,14.4
22,160,6,14.3
22,160,7,14.3
22,161,1,14.8
22,161,2,14.6
22,161,3,14.6
22,161,4,14.4
22,161,5,14.4
22,161,6,14.5
22,161,7,14.1
22,162,1,14.9
22,162,2,14.8
22,162,3,14.7
22,162,4,14.6
22,162,5,14.4
22,162,6,14.6
22,162,7,14.1
21,163,1,15.0
21,163,2,14.8
21,163,3,14.7
21,163,4,14.5
21,163,5,14.6
21,163,6,14.4
21,163,7,14.2
21,164,1,15.1
21,164,2,14.9
21,164,3,14.8
21,164,4,14.6
21,164,5,14.6
21,164,6,14.4
21,164,7,14.2
21,165,1,14.9
